filename,sentiment,count
CU,joy,37
CU,love,1
CU,sadness,2
CV,anger,1
CV,fear,1
CV,joy,40
CV,love,2
CV,sadness,1
CW,fear,5
CW,joy,41
CW,sadness,1
CX,fear,4
CX,joy,42
CX,sadness,2
CY,fear,3
CY,joy,35
CY,love,2
CY,surprise,1
CZ,fear,4
CZ,joy,27
CZ,love,1
CZ,sadness,4
DE,sadness,1
DJ,fear,4
DJ,joy,38
DJ,love,1
DJ,surprise,1
DK,fear,12
DK,joy,16
DK,love,1
DK,sadness,1
DK,surprise,1
DM,anger,1
DM,fear,3
DM,joy,32
DM,love,1
DM,sadness,2
DO,anger,1
DO,fear,2
DO,joy,38
DO,sadness,1
DZ,fear,4
DZ,joy,36
DZ,surprise,1
EC,anger,2
EC,fear,1
EC,joy,36
EC,sadness,1
EC,surprise,1
EE,fear,3
EE,joy,33
EE,sadness,1
EG,fear,5
EG,joy,21
EG,love,1
EG,sadness,1
EG,surprise,2
EH,anger,3
EH,fear,1
EH,joy,35
EH,sadness,1
ER,fear,2
ER,joy,44
ES,joy,26
ET,anger,1
ET,fear,4
ET,joy,34
ET,surprise,1
FI,fear,5
FI,joy,28
FI,sadness,1
FI,surprise,3
FJ,anger,2
FJ,joy,43
FK,fear,5
FK,joy,29
FK,love,3
FK,sadness,1
FM,anger,1
FM,fear,1
FM,joy,40
FO,fear,5
FO,joy,29
FO,surprise,2
FR,anger,1
FR,joy,26
GA,anger,1
GA,fear,2
GA,joy,36
GA,love,1
GA,surprise,1
GB,fear,14
GB,joy,15
GB,sadness,7
GD,fear,1
GD,joy,40
GE,anger,1
GE,fear,2
GE,joy,28
GE,sadness,1
GF,fear,5
GF,joy,33
GF,sadness,1
GH,fear,1
GH,joy,42
GH,sadness,1
GI,fear,5
GI,joy,34
GL,anger,4
GL,fear,11
GL,joy,20
GM,joy,45
GM,sadness,1
GM,surprise,2
GN,anger,1
GN,fear,4
GN,joy,40
GN,sadness,1
GP,anger,1
GP,fear,3
GP,joy,39
GP,love,1
GP,surprise,1
GQ,anger,2
GQ,fear,4
GQ,joy,32
GQ,sadness,1
GQ,surprise,2
GR,anger,2
GR,fear,3
GR,joy,25
GR,sadness,2
GR,surprise,2
GT,anger,1
GT,joy,42
GT,love,1
GT,surprise,1
GU,anger,1
GU,fear,2
GU,joy,40
GU,love,1
GU,sadness,1
GU,surprise,1
GW,anger,1
GW,fear,2
GW,joy,37
GW,sadness,1
GW,surprise,3
GY,fear,4
GY,joy,39
GY,sadness,1
HK,anger,1
HK,fear,1
HK,joy,35
HK,sadness,2
HN,joy,36
HN,sadness,1
HR,fear,5
HR,joy,26
HR,love,1
HR,sadness,4
HR,surprise,1
HT,fear,2
HT,joy,39
HT,sadness,1
HU,fear,2
HU,joy,32
HU,love,1
HU,surprise,1
ID,anger,1
ID,fear,2
ID,joy,14
ID,love,1
ID,surprise,1
IE,fear,3
IE,joy,23
IE,sadness,4
IE,surprise,2
IL,anger,1
IL,joy,41
IL,love,1
IL,sadness,2
IM,fear,5
IM,joy,26
IM,sadness,1
IM,surprise,1
IN,fear,6
IN,joy,34
IN,sadness,1
IQ,anger,2
IQ,fear,3
IQ,joy,33
IQ,sadness,1
IR,anger,1
IR,fear,3
IR,joy,36
IR,sadness,2
IS,anger,2
IS,fear,4
IS,joy,29
IS,love,1
IT,fear,3
IT,joy,23
IT,love,1
IT,sadness,1
JM,fear,1
JM,joy,41
JO,anger,2
JO,fear,2
JO,joy,30
JO,love,1
JO,sadness,1
JP,fear,4
JP,joy,31
JP,sadness,2
JP,surprise,1
KE,anger,3
KE,fear,3
KE,joy,34
KE,love,1
KG,fear,2
KG,joy,38
KG,surprise,3
KH,anger,1
KH,fear,4
KH,joy,38
KH,sadness,1
KI,fear,1
KI,joy,43
KI,surprise,1
KM,fear,7
KM,joy,38
KM,love,1
KN,anger,1
KN,fear,8
KN,joy,28
KN,sadness,1
KP,anger,9
KP,fear,7
KP,joy,2
KP,sadness,3
KR,anger,1
KR,fear,4
KR,joy,29
KR,love,3
KR,sadness,3
KW,fear,2
KW,joy,41
KY,anger,1
KY,fear,5
KY,joy,35
KZ,fear,1
KZ,joy,41
KZ,sadness,1
LA,anger,2
LA,fear,4
LA,joy,37
LB,anger,1
LB,fear,1
LB,joy,44
LB,sadness,1
LC,fear,3
LC,joy,35
LC,love,2
LI,anger,1
LI,fear,7
LI,joy,22
LI,sadness,2
LI,surprise,1
LK,joy,38
LK,love,1
LK,sadness,1
LK,surprise,3
LR,fear,3
LR,joy,36
LR,sadness,2
LS,joy,43
LS,surprise,1
LT,fear,3
LT,joy,31
LT,love,1
LT,surprise,2
LU,fear,4
LU,joy,36
LU,love,2
LU,surprise,1
LV,anger,1
LV,fear,3
LV,joy,29
LV,love,1
LY,anger,2
LY,fear,2
LY,joy,36
LY,sadness,1
MA,fear,4
MA,joy,37
MA,love,1
MC,anger,2
MC,fear,11
MC,joy,15
MC,sadness,2
MD,anger,1
MD,fear,3
MD,joy,34
MD,love,1
MD,sadness,1
ME,fear,2
ME,joy,39
ME,sadness,1
MG,anger,1
MG,fear,3
MG,joy,33
MG,surprise,2
MH,fear,5
MH,joy,38
MH,surprise,1
MK,fear,7
MK,joy,34
MK,sadness,1
MK,surprise,1
ML,fear,1
ML,joy,44
ML,surprise,1
MM,fear,2
MM,joy,32
MM,love,2
MM,surprise,1
MN,anger,1
MN,fear,2
MN,joy,33
MN,love,1
MN,sadness,1
MO,fear,7
MO,joy,30
MO,sadness,2
MP,fear,2
MP,joy,43
MQ,fear,2
MQ,joy,37
MQ,love,1
MR,fear,8
MR,joy,29
MR,sadness,1
MR,surprise,2
MS,anger,1
MS,fear,3
MS,joy,37
MS,surprise,1
MT,anger,1
MT,fear,2
MT,joy,29
MU,fear,1
MU,joy,41
MV,fear,2
MV,joy,34
MV,sadness,1
MV,surprise,1
MW,fear,3
MW,joy,44
MX,fear,1
MX,joy,38
MX,sadness,1
MY,anger,1
MY,fear,2
MY,joy,40
MY,sadness,1
MY,surprise,1
MZ,fear,4
MZ,joy,42
NC,anger,2
NC,fear,3
NC,joy,38
NE,fear,4
NE,joy,40
NF,fear,4
NF,joy,40
NG,anger,1
NG,fear,6
NG,joy,34
NG,sadness,2
NI,anger,1
NI,joy,38
NI,sadness,1
NI,surprise,1
NL,joy,1
NO,fear,7
NO,joy,33
NO,surprise,1
NP,fear,3
NP,joy,38
NP,love,1
NP,surprise,2
NR,anger,1
NR,fear,2
NR,joy,38
NR,sadness,1
NU,fear,1
NU,joy,43
NU,surprise,1
NZ,fear,1
NZ,joy,39
NZ,love,1
NZ,sadness,1
OM,fear,3
OM,joy,41
OM,surprise,1
PA,anger,1
PA,joy,44
PA,surprise,1
PE,fear,6
PE,joy,33
PE,surprise,2
PF,joy,39
PF,sadness,2
PF,surprise,2
PG,fear,3
PG,joy,34
PG,surprise,1
PH,fear,4
PH,joy,36
PK,anger,1
PK,fear,2
PK,joy,38
PK,sadness,2
PL,fear,2
PL,joy,34
PL,sadness,2
PL,surprise,1
PM,anger,1
PM,fear,7
PM,joy,28
PM,sadness,2
PN,fear,1
PN,joy,31
PN,love,1
PN,sadness,4
PN,surprise,1
PR,fear,2
PR,joy,41
PR,love,1
PS,joy,40
PS,sadness,2
PT,anger,1
PT,fear,1
PT,joy,32
PW,fear,4
PW,joy,37
PW,surprise,2
PY,joy,38
PY,love,1
PY,sadness,1
PY,surprise,2
QA,anger,1
QA,fear,1
QA,joy,39
QA,surprise,1
RO,fear,8
RO,joy,24
RO,love,1
RO,sadness,1
RS,fear,6
RS,joy,29
RS,love,1
RS,sadness,2
RU,fear,8
RU,joy,23
RU,love,1
RU,sadness,6
RW,fear,1
RW,joy,40
RW,love,1
RW,sadness,2
SA,fear,2
SA,joy,39
SA,love,1
SA,sadness,1
SB,anger,1
SB,fear,5
SB,joy,37
SB,sadness,1
SC,joy,40
SC,love,3
SD,anger,1
SD,fear,3
SD,joy,35
SD,sadness,1
SD,surprise,1
SE,fear,7
SE,joy,20
SE,sadness,2
SG,fear,1
SG,joy,41
SG,sadness,2
SH,fear,3
SH,joy,31
SH,love,2
SI,fear,3
SI,joy,35
SI,love,1
SI,surprise,1
SK,anger,1
SK,fear,4
SK,joy,33
SK,love,1
SK,surprise,1
SL,fear,2
SL,joy,37
SL,love,1
SL,sadness,1
SM,anger,1
SM,fear,6
SM,joy,35
SN,anger,1
SN,joy,45
SN,sadness,1
SO,fear,2
SO,joy,40
SO,surprise,2
SR,fear,3
SR,joy,32
SS,anger,1
SS,fear,5
SS,joy,34
SS,surprise,1
ST,joy,42
ST,surprise,1
SV,fear,3
SV,joy,39
SV,love,1
SV,sadness,1
SY,joy,29
SY,love,2
SY,sadness,3
SZ,fear,3
SZ,joy,43
SZ,love,1
TC,fear,2
TC,joy,43
TC,sadness,1
TD,fear,3
TD,joy,36
TD,sadness,2
TG,fear,2
TG,joy,39
TG,surprise,2
TH,anger,1
TH,fear,1
TH,joy,37
TH,sadness,1
TH,surprise,2
TJ,fear,4
TJ,joy,39
TJ,surprise,1
TK,anger,3
TK,fear,3
TK,joy,38
TL,anger,1
TL,fear,3
TL,joy,40
TL,surprise,2
TM,fear,3
TM,joy,35
TM,surprise,2
TN,anger,1
TN,fear,3
TN,joy,36
TN,surprise,1
TO,anger,1
TO,fear,1
TO,joy,38
TO,love,1
TR,fear,1
TR,joy,13
TR,sadness,2
TT,anger,1
TT,fear,1
TT,joy,40
TT,love,1
TT,sadness,1
TT,surprise,1
TV,fear,1
TV,joy,42
TV,sadness,1
TW,fear,1
TW,joy,36
TW,love,1
TW,sadness,2
TW,surprise,1
TZ,anger,1
TZ,fear,2
TZ,joy,39
TZ,surprise,3
UA,anger,2
UA,fear,2
UA,joy,33
UA,love,1
UG,fear,2
UG,joy,36
UG,sadness,1
UG,surprise,2
US,anger,1
US,fear,3
US,joy,24
US,love,2
US,sadness,8
US,surprise,1
UY,fear,6
UY,joy,28
UY,love,2
UY,surprise,1
UZ,anger,2
UZ,fear,1
UZ,joy,35
UZ,sadness,1
UZ,surprise,1
VC,fear,2
VC,joy,42
VC,sadness,2
VE,anger,1
VE,joy,32
VE,sadness,1
VG,anger,1
VG,joy,43
VG,love,1
VI,anger,2
VI,fear,3
VI,joy,42
VI,sadness,1
VN,fear,1
VN,joy,30
VN,love,3
VN,sadness,3
VN,surprise,1
VU,anger,1
VU,fear,2
VU,joy,42
VU,surprise,3
WF,fear,1
WF,joy,40
WF,love,2
WF,sadness,1
WS,joy,37
WS,surprise,2
YE,fear,2
YE,joy,36
YE,sadness,2
YT,fear,2
YT,joy,23
YT,sadness,1
ZA,anger,2
ZA,joy,37
ZA,love,2
ZA,sadness,1
ZA,surprise,1
ZM,anger,1
ZM,fear,2
ZM,joy,37
ZW,joy,36
